Type_of_event,Distance,Warranty,Participants,Preference,Profession,Age,show_up_Rate
8,1000,5,200,10,3,46,60
10,1000,20,20,8,2,95,70
7,0,1,5,7,4,16,100
9,1000,200,200,8,2,17,40
11,20,500,10,11,1,97,70
8,300,10000,10,8,1,42,55
8,20,20,5,7,2,23,95
10,20,1000,5,8,1,52,65
7,300,1,50,11,4,14,70
7,10,200,10,9,4,43,75
8,300,100,20,10,2,23,70
7,0,1000,5,10,1,52,65
8,100,50,200,9,3,54,75
8,200,200,5,10,1,31,65
9,1000,10000,50,8,4,86,35
10,1000,5,1000,7,1,97,50
9,800,1,5,10,4,23,75
11,20,10000,1,7,2,15,70
7,10,50,10,11,3,64,95
9,800,200,10000,10,4,42,35
11,0,500,200,10,3,48,60
9,0,50,20,10,2,11,90
11,200,200,5,10,2,80,70
11,0,5,20,10,2,83,90
7,50,10,10,11,2,45,95
9,800,1,10000,11,1,3,50
11,300,20,20,7,4,58,80
7,200,1000,50,7,3,26,60
10,1000,10,20,10,1,41,70
9,300,10,5,8,1,32,80
10,800,200,1,7,3,42,60
10,50,10000,10000,9,1,2,45
7,50,10,20,10,4,46,90
9,0,1000,1000,10,1,5,50
9,10,200,10000,10,3,19,60
10,300,50,200,8,4,74,60
10,0,10000,1000,7,1,42,50
11,300,100,50,8,4,45,60
7,800,20,10,11,4,0,70
11,800,1,10,10,1,15,70
8,50,100,5,8,2,45,90
7,50,500,10,7,3,35,75
8,10,100,5,10,4,53,85
8,800,5,200,11,2,40,60
9,800,1000,20,7,1,33,45
10,50,10,5,8,2,40,95
8,10,100,5,11,2,4,85
7,200,50,50,7,3,14,80
11,100,500,50,9,1,80,55
10,10,100,50,7,4,10,75
7,20,500,200,9,4,26,55
11,200,200,10,11,3,64,75
7,300,100,20,7,3,21,80
8,100,20,10000,10,4,29,70
7,500,500,1000,10,2,50,40
8,10,1000,10000,8,2,5,55
9,100,20,20,9,1,70,85
10,800,50,200,11,4,33,55
7,20,10000,10000,9,1,6,45
9,500,1,50,8,4,90,65
8,800,500,10,10,4,23,50
9,50,50,200,8,4,96,75
7,20,1,10,11,2,131,95
10,10,20,50,9,3,27,85
9,50,50,50,10,2,46,80
7,50,5,20,10,2,1,90
10,10,10,10,7,3,26,95
7,0,100,1,7,3,30,95
7,10,50,10,10,1,2,85
10,0,500,1000,10,3,22,60
9,300,1,1000,8,4,19,65
11,300,200,200,7,4,44,45
9,200,1000,10000,11,3,17,50
9,20,10000,200,8,3,14,55
9,1000,1,1,7,1,66,70
10,50,1000,50,11,3,12,60
7,100,100,5,11,1,55,75
8,800,10,1000,10,2,69,55
10,500,5,1,8,3,86,80
7,0,100,1000,7,3,57,75
7,200,1,10000,9,1,11,65
8,800,10000,10,7,1,0,45
7,0,10000,5,9,3,15,75
10,20,10,5,10,3,71,100
8,10,1,50,7,4,23,85
9,0,1,10000,9,3,29,85
9,200,50,1,7,2,56,85
8,50,20,1,11,4,5,90
9,100,5,5,9,4,3,95
10,10,500,20,7,3,30,70
7,100,500,10,8,1,83,65
8,100,500,10,9,2,57,70
9,1000,1000,50,9,3,35,45
11,20,20,1,9,4,51,90
8,10,100,1000,11,4,70,65
11,1000,1000,50,8,2,49,40
10,1000,10,1000,7,2,25,55
9,10,10,10000,11,4,25,75
10,500,1,10000,7,3,10,65
10,300,500,50,9,3,41,50
10,20,1000,50,8,3,94,65
7,0,200,1,9,1,30,75
7,100,10,200,11,1,96,70
8,50,200,50,11,4,36,65
9,0,20,1000,11,3,43,80
8,50,10,1,9,3,17,95
11,500,100,50,11,3,69,65
7,50,200,10,8,1,30,70
9,500,10,1000,9,3,36,65
7,300,500,10000,10,1,19,40
10,500,200,1,9,3,32,65
11,20,500,200,9,1,43,50
8,20,200,5,9,4,40,75
11,10,50,10000,11,1,10,75
8,500,200,1000,10,3,44,45
9,500,20,50,10,1,95,65
7,20,50,1,10,2,58,90
9,1000,1,5,9,4,49,75
9,800,10000,5,7,2,55,50
8,200,20,10000,11,1,73,65
10,300,10000,50,7,1,42,45
7,100,1000,50,10,1,38,50
11,300,50,10000,9,3,29,65
7,100,1000,5,10,4,106,65
8,200,10000,20,9,1,69,55
8,300,100,50,7,1,63,60
11,0,100,10,8,1,27,80
10,800,100,200,9,1,25,45
9,20,10000,200,8,4,32,50
8,1000,100,10,7,4,78,60
11,300,500,10000,7,4,67,40
8,100,50,1,7,2,27,90
7,50,1,5,11,2,70,95
7,800,20,50,11,1,34,60
10,50,50,10000,8,1,17,70
7,50,1000,50,9,1,16,55
10,50,1,5,11,4,6,90
8,200,500,200,10,3,94,50
8,50,100,5,9,3,23,85
7,200,5,10000,8,4,54,70
10,0,10,50,10,1,28,85
7,200,5,1000,10,1,51,65
10,200,10,1,7,4,47,85
8,300,100,1000,8,1,77,55
8,20,200,50,10,2,42,65
9,1000,200,50,10,2,60,45
10,50,100,20,9,1,22,75
10,0,5,10,11,4,21,95
7,500,10000,10000,8,1,6,30
7,300,100,1000,9,3,51,60
10,800,50,200,10,3,14,60
9,20,1000,50,11,2,52,60
11,10,10000,5,9,2,27,70
7,500,500,10000,9,2,9,35
11,500,5,200,10,2,69,60
